epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,772.718,0.9947,1.24765,1.41746,0.85177,0.25,0.33256,0.11383,2.09271,3.465,3.49571,0.00036874,0.00036874,0.00036874
61,784.802,0.92305,1.21655,1.40074,0.85177,0.25,0.33256,0.11383,2.09271,3.465,3.49571,0.000346736,0.000346736,0.000346736
62,796.944,0.90194,1.2245,1.38469,0.77709,0.41447,0.34851,0.13608,1.88823,3.28473,3.25622,0.000324732,0.000324732,0.000324732
63,809.091,1.02809,1.21571,1.3843,0.77709,0.41447,0.34851,0.13608,1.88823,3.28473,3.25622,0.000302727,0.000302727,0.000302727
64,821.221,1.00715,1.34159,1.40546,0.76351,0.375,0.28961,0.14275,1.75076,3.27629,3.12644,0.000280723,0.000280723,0.000280723
65,833.247,1.00165,1.21969,1.40915,0.76351,0.375,0.28961,0.14275,1.75076,3.27629,3.12644,0.000258718,0.000258718,0.000258718
66,845.29,1.2538,1.97561,1.90452,0.76352,0.375,0.31259,0.15864,1.7114,3.20499,3.13826,0.000236714,0.000236714,0.000236714
67,857.198,1.1959,2.01641,1.82568,0.76352,0.375,0.31259,0.15864,1.7114,3.20499,3.13826,0.00021471,0.00021471,0.00021471
68,869.261,0.87063,1.71709,1.50648,0.78265,0.375,0.34699,0.15332,1.68007,3.11865,3.11826,0.000192705,0.000192705,0.000192705
69,881.165,1.11012,1.92546,1.80215,0.78265,0.375,0.34699,0.15332,1.68007,3.11865,3.11826,0.000170701,0.000170701,0.000170701
70,893.326,0.94023,1.73665,1.51769,0.79309,0.375,0.37148,0.16271,1.64091,3.0918,3.0607,0.000148696,0.000148696,0.000148696
71,905.141,1.08813,2.00383,1.76478,0.79309,0.375,0.37148,0.16271,1.64091,3.0918,3.0607,0.000126692,0.000126692,0.000126692
72,917.028,0.76347,1.67577,1.43214,0.79519,0.375,0.36589,0.15588,1.62391,3.04518,3.03393,0.000104688,0.000104688,0.000104688
73,928.826,0.83691,1.65055,1.47165,0.79519,0.375,0.36589,0.15588,1.62391,3.04518,3.03393,8.26832e-05,8.26832e-05,8.26832e-05
74,940.66,0.83172,1.64735,1.53492,0.79624,0.375,0.36127,0.15363,1.62443,3.03419,2.9918,6.06788e-05,6.06788e-05,6.06788e-05
75,952.7,0.84782,1.71729,1.54074,0.79624,0.375,0.36127,0.15363,1.62443,3.03419,2.9918,3.86744e-05,3.86744e-05,3.86744e-05
